,Amazona_aestiva,Amazona_pretrei,Amazona_vinacea,Anodorhynchus_hyacinthinus,Anodorhynchus_leari,Ara_ararauna,Ara_chloroptera,Ara_macao,Brotogeris_tirica,Eupsittula_cactorum,Forpus_xanthopterygius,Guaruba_guarouba,Myiopsitta_monachus,Pionus_maximiliani,Primolius_auricollis,Primolius_couloni,Primolius_maracana,Psittacara_leucophthalmus,Pyrrhura_frontalis,Pyrrhura_molinae,Triclaria_malachitacea
Pantanal,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0
Cerrado,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0
Caatinga,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
Mata Atlântica,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1
Amazônia,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0
Pampa,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
